cause,originalCause,status,item,profile,timeAfterActionMs,review,before,after,record,detailedTrace
SF1,SF1,confirmed,shell-root-missing-home,cold-1440,6776,"SF1/SF2; pre-paint click-navigation probe artifact, guarded repeat queued",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-root-missing-home,cold-375,6762,"SF1; pre-paint click-navigation probe artifact, guarded repeat queued",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-home-enter,cold-1440,6758,"SF1 font, SF2 initial sidebar, reserved header/avatar, below-viewport document height",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-home-enter,cold-375,6770,"SF1 font, reserved header, below-viewport document height",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-375/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-pricing-back,cold-1440,6757,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-pricing-back,cold-375,6773,"SF1 font buffered during back navigation; reserved header, below-view height. React418 hydration mismatch replaces86 nodes at identical visible geometry; cause unconfirmed.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-privacy-back,cold-1440,6784,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-privacy-back,cold-375,6769,SF1 font buffered during back navigation; reserved header and below-view document height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-sign-in-back,cold-1440,6773,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-sign-in-back,cold-375,6765,SF1 font buffered during back navigation; reserved header and below-view document height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
