area,scope,id,title,profile,status,detail,reviewedFrames,record,harness,reviewLedger,attemptCount,allReviewedFrames
shell,baseline,shell-route-home-enter,Navigate into /,cold-1440,reviewed,"SF1 font, SF2 initial sidebar, reserved header/avatar, below-viewport document height",5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-home-enter,Navigate into /,warm-1440,reviewed,"SF2 initial sidebar, reserved header/avatar, below-viewport document height",5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/warm-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-home-enter,Navigate into /,cold-375,reviewed,"SF1 font, reserved header, below-viewport document height",5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-375/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-home-enter,Navigate into /,warm-375,reviewed,"Reserved header, below-viewport document height",5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/warm-375/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-home-back,Return from / using browser back,cold-1440,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,6,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-back/cold-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,6
shell,baseline,shell-route-home-back,Return from / using browser back,warm-1440,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,6,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-back/warm-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,6
shell,baseline,shell-route-home-back,Return from / using browser back,cold-375,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,6,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-back/cold-375/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,6
shell,baseline,shell-route-home-back,Return from / using browser back,warm-375,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,6,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-back/warm-375/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,6
shell,baseline,shell-route-pricing-enter,Navigate into /pricing,cold-1440,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-enter/cold-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-pricing-enter,Navigate into /pricing,warm-1440,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-enter/warm-1440/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
shell,baseline,shell-route-pricing-enter,Navigate into /pricing,cold-375,reviewed,Stable: zero shifts and rect/scroll deltas; expected requested page replacement before first post-action frame.,5,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-enter/cold-375/record.json,44d5b4a7890645215feac57673ab0b4509c2382eb8ffb5f393aafba2d49e170c,/Users/albin/Code/jori/dist/layout-hunt/before/shell/reviewed.json,1,5
